date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-07-07;7622.0;2013;7;7;6;False;8189.5;1749.0;14834.95;8064.055212893478;6871.392906589316;11035.0;2498.895614382751;8585.12196094732
2013-07-08;23666.0;2013;7;8;0;False;7622.0;6814.0;10433.85;7643.050248233022;7246.696453294659;32268.5;8840.133121881587;25318.6512246146
2013-07-09;24838.0;2013;7;9;1;False;23666.0;7201.0;7768.95;22903.002392773;15456.34822664733;33449.0;9266.679965140542;26675.898500446914
2013-07-10;25480.0;2013;7;10;2;False;24838.0;7270.0;9569.75;24745.857256798714;20147.174113323665;34116.5;9393.20953320686;27207.710608923026
2013-07-11;13666.0;2013;7;11;3;False;25480.0;2659.0;11942.85;25445.040821752318;22813.587056661832;32605.25;4977.31763950335;24787.535784919084
2013-07-12;24788.0;2013;7;12;4;False;13666.0;5689.0;12628.05;14226.90670579773;18239.793528330916;32304.25;7797.209541443575;25381.284169179133
2013-07-13;11941.5;2013;7;13;5;False;24788.0;8189.5;14386.75;24285.090795514177;21513.89676416546;14481.25;8161.346729990957;10913.789773681296
2013-07-14;9731.0;2013;7;14;6;False;11941.5;7622.0;14853.9;12529.290037881628;16727.69838208273;10410.25;7378.04264830394;8103.56098047366
2013-07-15;41029.5;2013;7;15;0;False;9731.0;23666.0;15561.1;9864.251906565793;13229.349191041365;30914.25;22960.006339137217;24492.3256123073
2013-07-16;41241.0;2013;7;16;1;False;41029.5;24838.0;19095.15;39545.44056697932;27129.424595520682;31994.25;24096.508569768597;25756.949250223457
2013-07-17;41333.0;2013;7;17;2;False;41241.0;25480.0;22400.3;41160.259074618065;34185.21229776034;32569.5;24713.962358724133;26343.85530446151
2013-07-18;40899.0;2013;7;18;3;False;41333.0;13666.0;25771.4;41324.774241648476;37759.10614888017;28563.0;13252.253220928731;19226.767892459542
2013-07-19;38342.0;2013;7;19;4;False;40899.0;24788.0;27494.7;40919.27496388803;39329.05307444009;31076.0;23978.91474006874;25084.642084589566
2013-07-20;18069.5;2013;7;20;5;False;38342.0;11941.5;28845.1;38464.72737923276;38835.526537220045;12524.625;11761.492701428142;11427.644886840648
2013-07-21;14593.0;2013;7;21;6;False;18069.5;9731.0;28104.05;19040.70130377299;28452.513268610022;9188.25;9618.954411823997;8917.28049023683
2013-07-22;48549.0;2013;7;22;0;False;14593.0;41029.5;28196.75;14804.795300179665;21522.756634305013;30299.625;40169.0479209113;32760.91280615365
2013-07-23;50697.0;2013;7;23;1;False;48549.0;41241.0;30572.85;46942.13310953236;35035.87831715251;31042.25;40424.595646179456;33498.97462511173
2013-07-24;52808.0;2013;7;24;2;False;50697.0;41333.0;34448.4;50518.19681473963;42866.43915857625;31574.5;40541.617255177334;33838.427652230755
2013-07-25;51790.0;2013;7;25;3;False;52808.0;40899.0;38756.1;52698.96175308284;47837.219579288125;27214.25;39582.48824861566;30062.88394622977
2013-07-26;49234.0;2013;7;26;4;False;51790.0;38342.0;39832.15;51833.28389300394;49813.60978964406;29783.5;37658.04355905089;31713.32104229478
