index;year;month;day;weekday;exits;in_sample;Date;exits_yesterday;exits_last_week;target_daily_roll;target_daily_emov_fast;target_daily_emov_slow;target_daily_weekday_roll;target_daily_weekday_emov_fast;target_daily_weekday_emov_slow
152;2010;10;22;4;15475.0;True;2010-10-22 00:00:00;14560.0;17700.0;13740.5;14530.619886769648;13764.224835506815;25271.5;17660.569020888874;20583.600855637003
153;2010;10;23;5;6819.0;True;2010-10-23 00:00:00;15475.0;6238.0;13593.4;15430.029518417601;14619.612417753407;8380.625;6149.363948360738;6886.261631851974
154;2010;10;24;6;4758.0;True;2010-10-24 00:00:00;6819.0;1788.0;12348.9;7229.049024686553;10719.306208876704;4913.75;1808.5230452697756;3231.1683469621407
155;2010;10;25;0;13077.0;True;2010-10-25 00:00:00;4758.0;11691.0;10767.1;4875.669001175551;7738.653104438352;17507.75;11646.271741630288;14084.23956805219
156;2010;10;26;1;13751.0;True;2010-10-26 00:00:00;13077.0;14730.0;10304.8;12686.460428627406;10407.826552219176;20718.75;14836.43798272405;17472.58769025509
157;2010;10;27;2;12800.0;True;2010-10-27 00:00:00;13751.0;13912.0;11056.1;13700.307639458448;12079.413276109588;21211.25;14162.091055014642;17902.38435396775
158;2010;10;28;3;14115.0;True;2010-10-28 00:00:00;12800.0;14560.0;12157.3;12842.871792355163;12439.706638054795;20768.25;14837.84858553616;18301.467750422416
159;2010;10;29;4;13843.0;True;2010-10-29 00:00:00;14115.0;15475.0;12399.7;14054.422466302625;13277.353319027397;20436.0;15579.074715280422;18029.29981882568
160;2010;10;30;5;2375.5;True;2010-10-30 00:00:00;13843.0;6819.0;12311.0;13853.0677364906;13560.176659513698;5729.125;6787.112568969559;6852.630807907774
161;2010;10;31;6;1090.0;True;2010-10-31 00:00:00;2375.5;4758.0;11157.35;2922.050844594791;7967.838329756849;2973.0;4617.548716441418;3994.5843554936305
162;2010;11;1;0;11134.0;True;2010-11-01 00:00:00;1090.0;13077.0;9810.35;1177.2405164092759;4528.919164878424;12611.5;13008.870082934776;13580.61972398993
163;2010;11;2;1;10682.0;True;2010-11-02 00:00:00;11134.0;13751.0;9376.25;10659.868596019489;7831.459582439213;15481.25;13802.68752298686;15611.793623303607
164;2010;11;3;2;11786.0;True;2010-11-03 00:00:00;10682.0;12800.0;9762.55;10680.946123619975;9256.729791219606;15556.25;12864.86147881022;15351.191872858033
165;2010;11;4;3;7345.0;True;2010-11-04 00:00:00;11786.0;14115.0;10465.35;11733.378386839047;10521.364895609804;16314.25;14149.421361216007;16208.233625678256
166;2010;11;5;4;8629.0;True;2010-11-05 00:00:00;7345.0;13843.0;9892.15;7553.970399373287;8933.182447804902;15776.25;13925.670224537163;15936.149659889896
167;2010;11;6;5;3020.5;True;2010-11-06 00:00:00;8629.0;2375.5;9379.95;8577.808114255871;8781.091223902451;4930.375;2585.576788998551;4614.065137096064
168;2010;11;7;6;4036.0;True;2010-11-07 00:00:00;3020.5;1090.0;8402.0;3285.13371972647;5900.7956119512255;2446.0;1257.9785103067345;2542.2920046200757
